Date,News 1,News 2,News 3,News 4,News 5,News 6,News 7,News 8,News 9,News 10
2026-02-25,The London-based company is building a system that uses artificial intelligence to power autonomous vehicles.,The judge said the court itself would search the devices which were seized from a Washington Post reporter’s home last month.,Having reshaped the company Sultan Ahmed Al Jaber wants to expand internationally particularly in natural gas chemicals and renewables.,Artificial intelligence detectors are increasingly used to check the veracity of content online. We ran more than 1000 tests and found several strengths and plenty of weaknesses.,In a widely circulated note Citrini Research painted a dire picture of job losses and stock market sell-offs though many analysts and economists questioned its conclusions.,The president boasted about a strong economy in his State of the Union address. But he spent less time on a potential weakness affordability.,The luxury automaker said losses for 2025 had increased from the year before as tariffs and geopolitical uncertainty took a toll on its operations.,By the president’s own admission it could be years before the matter is settled even though the administration previously indicated it would pay.,An existing law could help create new retirement savings plans for people who lack them. But there may be income restrictions on any match.,Total profit for the fiscal year was $120 billion the company said. Three years ago it was just $4.4 billion.
2026-02-26,The requests followed Times reporting that the Department of Homeland Security had sent Meta and other companies subpoenas for information on accounts that track or comment on ICE.,The prediction-market platform said it had reported the employee to federal regulators. The show’s parent company said it had “no tolerance for this behavior.”,As China grapples with a shrinking population and historically low birthrate people are finding romance with chatbots instead.,Mayor Zohran Mamdani has been given a bevy of nicknames by New York City’s tabloid newspapers and political class. Which will stick?,People are revealing sensitive personal information to A.I. chatbots — including plans to commit violent acts.,Artificial intelligence is convenient and easy to use but you should think about what you say to the chatbots.,Borge Brende a former foreign minister of Norway had maintained contact with the convicted sex offender.,The start-up founded by a former top SpaceX engineer promises to help companies reduce their testing times and optimize systems.,The chip giant at the center of the artificial intelligence boom again beat expectations. But it didn’t overcome investor jitters.,A Bitcoin baron wants to build a libertarian paradise on the island of Nevis. Democracy is getting in the way.
2026-02-27,More than 100 Google A.I. employees sent a letter to Jeff Dean a chief scientist opposing Gemini’s use for U.S. surveillance and some autonomous weapons.,The shifting composition of big public companies in the stock index shows how lopsided and less dynamic the American economy has become.,Natural gas production in Germany has fallen about 80 percent in the past two decades even as the country seeks to replace flows from Russia.,Artificial intelligence promises to automate the white-collar work that made India a tech powerhouse. The country is racing to adapt before it’s too late.,The megabillionaire was tied to about 90 companies in the state which he uses for everything from paying nannies to buying land to supporting Donald Trump’s re-election according to a Times examination.,Desktop Metal a billion-dollar start-up promised to revolutionize manufacturing. It went bankrupt and now has much humbler ambitions as the 3-D printing industry takes a sober turn.,The Tesla and SpaceX chief has told his followers that they will live in a world where robots will take care of every need and people do not have to work in what has become his latest slogan.,If Paramount can close its deal to buy Warner Bros. Discovery Larry and David Ellison will influence nearly every corner of news entertainment and tech.,Paramount’s apparent victory over Netflix in securing Warner Bros. Discovery has led to concerns within the CNN newsroom about editorial independence.,India has grown rapidly despite its slow industrialization and its economy is now nearly as big as Japan’s.
2026-02-28,In a draft of his memoir Changpeng Zhao the founder of Binance laid out the secret negotiations that led to his imprisonment and a run-in with ICE.,The deal came hours after President Trump had ordered federal agencies to stop using artificial intelligence technology made by Anthropic an OpenAI rival.,Developers are using a new geothermal technology in Germany to produce clean energy.,Once paychecks stop it can be frightening to shift out of the savings habit. But there are strategies to enjoy your nest egg and make it last.,The nearly decade-old conspiracy theory does not align neatly with the facts emerging from the documents. That does not seem to matter.,Employees at the company had started to warm to the idea of Netflix as its corporate owner. Now they face the prospect of major cuts under Paramount.,It is entirely possible analysts say that Netflix will be better off by bailing from its $83 billion deal with Warner Bros. Discovery.,In a wide-ranging interview with Andrew Ross Sorkin Goldman’s former C.E.O. discussed his life and new memoir.,In his first report as C.E.O. Gregory Abel stuck to a straight commentary rather than Warren Buffett’s folksy tone. The lower earnings were largely driven by declines in the insurance business.,Tankers have begun to steer clear of the region and the Strait of Hormuz threatening to push up energy prices.
2026-03-01,Rick Ardon and Susannah Carr have been delivering the news together in Western Australia since 1985 — a Guinness World Record.,It’s not exactly going analog but people looking to move away from streaming say Apple’s old device is a small step away from constantly being online.,Everette Taylor took over Kickstarter at a low moment for the crowdfunding pioneer which made its name with small projects but now attracts major multinationals and celebrities.,In recent years the technologies used to surveil workers have become more sophisticated and widespread.,The cartel pledged to increase output by 206000 barrels a day from next month and said that members would “closely monitor and assess market conditions.”,The Pentagon and Anthropic were close to agreeing on the use of artificial intelligence. But strong personalities mutual dislike and a rival company unraveled a deal.,How long prices remain high will depend on what the United States Israel and Iran do next.,The strikes come at a precarious time for stocks forcing investors to weigh the fallout of a potential prolonged disruption to oil supplies and logistics.,,
2026-03-02,The Olympic athletes are the subject of uncomfortable public comparisons that present online narratives that overlap more than both sides may realize.,Lori Chavez-DeRemer is under investigation internally after allegations of misconduct and misuse of department funds.,Global officials are expected to closely examine the $111 billion deal which ties together two entertainment powerhouses over potential competition issues.,China and its neighbors scrambled to soften the blow of a disorderly trade war. Conflict in the Middle East now threatens to disrupt the oil imports that power their economies.,Rising oil prices volatile stocks and potentially higher inflation are all weighing on investors’ minds as the military campaign continues.,Palmer Luckey who founded the defense tech start-up Anduril has become the It Guy as President Trump aims to modernize the U.S. military with autonomous weapons.,Higher fuel prices and lower demand for international flights are expected to eat into airlines’ profits.,An industry report shows high interest rates fewer infrastructure projects and tariffs pressures have slowed growth and decreased jobs in the sector.,Qatar said it had halted production of liquefied natural gas forcing buyers to compete for supplies elsewhere.,A prolonged conflict in the Middle East could push prices even higher as the busy driving season approaches.
2026-03-03,The new pact includes additional protections to prevent the use of the company’s technology for mass surveillance of Americans.,A protracted conflict in the Middle East risks a spike in energy prices and broader inflation.,General Motors Ford and other established automakers risk becoming relics if they don’t catch up to Chinese carmakers and technology companies in electric vehicles and self-driving cars.,Chocolate makers and fig-paste importers are facing a tangle of unknowns including whether to seek refunds for tariffs invalidated by the Supreme Court.,The S&P 500 recovered ground in the afternoon but still ended the day lower as investors sought cover from the unpredictable effects that the fighting could have on the world economy.,President Trump has signaled that he is open to the idea of a prolonged military conflict with Iran. Investors are spooked by that scenario.,Energy prices continued to rise on Tuesday as attacks by the United States and Israel on Iran intensified along with the country’s response.,The two aides to Labor Secretary Lori Chavez-DeRemer had been on leave during an investigation of misconduct at the department.,Beast Industries has acquired a banklike app for young people and could eventually offer a variety of financial services including crypto.,For months the region has been encouraged by low inflation and better-than-expected economic growth. A disruption to energy supplies from the Middle East could knock it off course.
2026-03-04,A huge number of Indians spend their lives hopping across the Arabian Sea — remitting billions of dollars a year supporting their families and the Indian economy.,Markets in Europe and the United States appeared to stabilize after days of turmoil but stocks in Asia fell sharply.,Last year six states eliminated a fire-safety code requiring apartment buildings taller than three stories to have at least two staircases. More states are exploring the move.,Fred VanVleet a league veteran has plenty of headaches to deal with. Can he revive trust in the organization?,The deal would put the combined company in the same league as Disney and Amazon. But Netflix and YouTube will still easily outrank everyone.,Beth M. Hammack head of the Federal Reserve Bank of Cleveland says it is too early to gauge the economic impact of the Iran war and backs holding interest rates steady for “quite some time.”,The U.S.-Israeli war with Iran has paralyzed the strait a vital shipping lane for energy and commerce putting global investors on edge.,Treasury Secretary Scott Bessent also predicted that overall tariff rates which fell after a Supreme Court ruling last month would be back to previous levels within five months.,The deal between All3Media and Banijay will bring together the companies behind the “Peaky Blinders” and the “Traitors” franchises.,The price for a gallon of regular gasoline has jumped more than 20 cents this week. Diesel prices rose to their highest level since April 2024.
2026-03-05,The goal of between 4.5 percent and 5 percent announced at a gathering of Communist Party leaders was the lowest since 1991 and can offer clues about China’s policymaking plans.,Several of Labor Secretary Lori Chavez-DeRemer’s employees are under investigation for official misconduct under her leadership.,Stocks in South Korea and Taiwan the center of global chip making plunged on fears about energy prices. Their recovery shows the bullishness over artificial intelligence.,After explosive growth in recent months the country’s benchmark stock index plummeted then rebounded in the wake of the U.S. and Israeli attacks on Iran.,President Trump’s simple campaign promise now reality includes lots of fine print that is confounding taxpayers and companies this filing season.,The world’s smartest technology is no match for the U.S. tax code.,Rising energy prices snarled supply chains and higher government debt could all hurt American consumers.,The artificial intelligence start-up has reportedly resumed talks with the Defense Department over use of its tools with high stakes for both.,The company said that the move if approved would allow it to offer more products to American customers as it seeks to grow globally.,Cars have become so expensive that many Americans are putting off or not buying new cars hurting the auto industry.
2026-03-06,ExThera Medical attracted cancer patients to Antigua with the promise that its devices could cure them. Its former chief regulatory officer faces up to three years in prison.,India’s trade deal with President Trump was supposed to end its imports of oil from Russia. But then the conflict in the Middle East has cut off alternative supplies.,The price of a gallon of gasoline hits its highest level in a year and a half on Friday. Surging oil prices suggest that the increases will continue.,An aging population is drawing workers to medical and social care creating reliable jobs and revealing weakness for the rest of the economy.,Sales and traffic at restaurant chains like Cava Chipotle and Sweetgreen are falling as customers grow tired of both salad bowls and their rising price tags.,Economists say estimates from the Bureau of Labor Statistics and other agencies are reliable but they worry the quality of data is eroding.,European stock indexes fall again ending a turbulent week for markets.,Employers shed 92000 jobs in February and the unemployment rate rose to 4.4 percent.,Unemployment is higher among younger people than other groups and some companies are cutting back on entry-level hiring. Tell us how you are navigating the start of your career.,The president campaigned on lowering prices for Americans. That pledge has come under fire this week as the Iran war pushes up the cost of gasoline.
2026-03-07,Soaring oil prices suggest that more increases could be in store for American drivers. Diesel jet fuel and other refined products are also becoming much more expensive.,Iran has launched waves of Shahed drones to menace Persian Gulf nations. The U.S. has unleashed its own copycat on Iran. It’s a sign of how war is changing.,Negotiations threats and amended contracts have left plenty of questions. Here are some answers.,A fight over Pentagon contracts shows how the leaders of Silicon Valley’s two most important A.I. start-ups are feuding over the future of the tech industry.,BrewDog a Scottish beer company once valued at $1 billion was recently sold for a fraction of that. Small investors who funded its rise were left empty-handed.,Plus how to deal when your pal is the toxic one at the office.,The Persian Gulf is a major source of fertilizers making the conflict disruptive to the global production of food.,The expanding war in the Middle East has added new risks to the trillions of dollars in investments that tech companies have planned in the region.,,
2026-03-08,A new generation of cryptocurrency pegged to the dollar is growing rapidly promising faster payments and potentially lower interest rates. But regulators and bankers warn of risks.,It’s more than the Jeep Wave: Miatas can wink with their pop-up headlights and Porsche owners have their own waves but only for the right cars.,Elliott Hill is traveling the globe to meet with leagues teams and athletes to rebuild connections and spur a turnaround for the world’s largest athletic-wear company.,The animated film was No. 1 at the domestic box office with about $46 million in ticket sales. On the downside “The Bride!” appeared dead on arrival.,“We’re not too long I think before you will see more regular resumption of ship traffic through the Strait of Hormuz” Chris Wright said on CNN on Sunday.,The jump was a sign of growing concern that the war in the Middle East will take a toll on energy supplies.,,,,
2026-03-09,The country found a home in the Middle East for its investments and growing markets for steel electric vehicles and solar panels. Those are now at stake.,The S&P 500 ended slightly higher on Monday as investors interpreted President Trump’s comments as a signal that the conflict could end soon.,Josh Payne the chief executive of Nscale raised $2 billion from investors. Sheryl Sandberg the former Facebook executive is joining his board.,Interruptions in oil supplies in the Middle East source of much of the world’s energy are trickling down to what American drivers pay when they fill up.,A.I. chatbots contain the sum of all human knowledge. That can make them pretty good writers.,The Export-Import Bank is providing a $10 billion loan to Project Vault an initiative to stockpile critical minerals. The project is the administration’s latest effort to reduce reliance on China.,The Trump administration has yet to announce a process to return fees paid by companies and shoppers for tariffs now deemed illegal.,Pet owners are extending their health beliefs and practices to their furry friends.,The war in the Middle East has sent prices soaring showing how much the world continues to depend on reliable supplies of oil and gas.,A spike in oil prices has roiled stocks and bonds again and threatens to accelerate inflation — adding pressure on the White House.
2026-03-10,More solar energy was added to U.S. grids than any other technology but the amount installed fell by 14 percent according to a new report.,Advanced Machine Intelligence Labs founded by Yann LeCun and other ex-Meta researchers has raised more than $1 billion from investors.,The U.S.-Israeli attacks on Iran have intensified and the conflict has widened shaking global energy markets.,A day after the price of oil had spiked to nearly $120 a barrel the S&P 500 ended Tuesday 0.2 percent lower even as the U.S. bombing campaign of Iran intensified.,China’s oil imports rose nearly 16 percent in the first two months of 2026 adding to its growing energy stockpile.,Whether President Trump signaled that he may soon end the military strikes is weighing on the minds of investors executives and others.,Ms. Stockwell who recently left The Washington Post is the third person named to the job in the past three years.,The price of jet fuel and diesel has surged since the war in Iran began which could force airlines and trucking companies to pass on higher costs to their customers.,Social media companies are under pressure to crack down on so-called deepfake videos that use deceptive images of real people.,Investors now expect that the Fed will delay a rate cut until September instead of July as they had before the war in Iran began.
2026-03-11,Drivers are paying an average of 20 percent more at the pump since the strikes on Iran began. The global oil price was higher and stocks were mixed.,President Trump again demonstrated his desire to keep the stock markets aloft when he suggested U.S. attacks on Iran could end soon.,Thomson Reuters best known for its media outlet and legal research tools provides an investigative tool to immigration enforcers. Its Minnesota employees want that to stop.,Gas prices don’t move in lock step with crude usually trailing increases or drops by a few days.,While February’s Consumer Price Index report shows only modest price pressures inflationary risks are rising again as the conflict in the Middle East drags on.,The technology giant’s siding with Anthropic in its fight against the Pentagon stands out in an era when big companies have tended to keep quiet.,The members of the International Energy Agency will release 400 million barrels of oil the largest such coordinated action on record.,Consumer prices stayed subdued in February.,Warner Bros. is behind both “One Battle After Another” and “Sinners.” The studio has worked hard to not favor one over the other.,A trade investigation focuses on the European Union China India and other countries and will likely lead to tariffs to replace those struck down by the Supreme Court.
2026-03-12,The decision is the latest move by the Pentagon to restrict access inside the department for journalists.,The stock index fell 1.5 percent on Thursday as concerns continued to grow about oil prices rising amid the war in the Middle East.,High prices have pushed more Londoners to live with roommates well into their late 20s and 30s — if they can afford to move out of their parents’ homes at all.,Reserves or no reserves the outlook remains bleak as long as a major oil and gas trade route remains virtually closed.,A Washington Post appeal for information about the military qualified as prohibited “solicitation” according to defense officials.,In television and movies depictions of nihilistic billionaires and amoral opportunists are replacing the quirky strivers of older shows like HBO’s “Silicon Valley.”,Theaters will get a minimum of five weekends of exclusive play and then starting next year seven. A pandemic-era policy was guaranteeing only three.,Tens of thousands of flights have been cancelled since the initial strikes and airlines that once relied on Iranian airspace are now scrambling to find alternatives.,Valued at $1.6 billion a tiny start-up called Axiom is building A.I. systems that can check for mistakes.,Investors have worried about who would get hit if there’s a private credit bust. Many on Wall Street think the pain goes further than the lenders.
2026-03-13,India relies on huge quantities of cooking gas that is normally shipped from the Persian Gulf.,After surging about 10 percent on Thursday oil prices had little reaction to the decision by President Trump to waive sanctions on the sale of some Russian crude.,Four years after the Russian invasion of Ukraine sent energy prices soaring the war in Iran is posing another challenge to efforts to revive European factories.,High-energy lasers can burn drones in the sky like a blowtorch. But they can be stymied by weather and making them at scale will be a challenge.,Beyond its effects on oil and gas the unfolding war in the Middle East is roiling shipping and airfreight threatening the availability of a vast range of goods.,The Japanese company’s retreat echoes moves by other traditional carmakers as the industry divides between electric vehicle haves and have-nots.,Many cybercrime victims are retargeted by online scammers posing as lawyers or other professionals who promise they can recover stolen money.,President Trump’s pick to lead the Federal Reserve could faces a tough road to confirmation if he seeks quick interest rate cuts. The war in Iran doesn’t help.,Economic growth at the end of 2025 was revised downward and consumer prices rose at the start of 2026.,Data incidents have become so common that you may be tempted to throw away notification letters. Don’t do that experts say.
2026-03-14,President Trump’s son-in-law is trying to raise $5 billion or more from foreign governments and others for his private equity firm.,The large fee is the latest example of the White House’s inserting itself into corporate deal making in unusual and aggressive ways.,Beijing’s decades-long push to reduce its dependence on foreign oil with huge investments in clean energy sources like electric vehicles is now paying off.,The billionaire newspaper owner dissatisfied by years of losses wants the newsroom to double productivity with half its budget.,A proliferation of data from wearable technology is telling people how to optimize their job performance. Is that a good thing?,Wall Street figures are turning to colorful metaphors including invoking the hated insect to express caution about the $3 trillion risky-lending market.,Gasoline still drives household budgets but energy efficiency and renewables have reduced the economy’s overall reliance on petroleum.,Geography and regional rivalries have prevented Gulf countries from finding a true alternative to the strait which the war with Iran has effectively shut down.,The technology has been used to create misleading fakes before. But never at this scale.,Using a post office box shouldn’t cost you your health insurance. But in one woman’s case it sure seemed to.
2026-03-15,President Trump said he had envisioned a growing economy and improving fortunes for American families in 2026. That appears at risk in his war with Iran.,The provocative broadcaster broke with Fox to build his own company on YouTube. Now he has hired a former head of MSNBC.,The Giving Pledge once trendy among the world’s richest has come upon hard times.,Most people have piled their savings into tax-deferred accounts delaying taxes until they retire. Using Roth options can help ease your tax bite.,A seven-page document mailed by an elusive figure has set off a court battle over the estate of Tony Hsieh the former chief executive of Zappos.,Paying taxes would feel better if the truly rich were bearing a fair share our columnist says.,Waymo’s co-chief executive Tekedra Mawakana knows she needs to earn the public’s trust. It won’t be easy.,The famous strip club is a symbol of the authentic city to many people in Atlanta. But others wondered whether the N.B.A. should be promoting it.,Emirates Qatar Airways and Etihad Airways have become some of the world’s largest and most profitable thanks to their location at the center of busy travel routes.,
2026-03-16,Bangladesh is taking steps to conserve electricity which its factories need to keep stitching together the world’s clothing.,As the broader war in the Middle East begins its third week worries over the fallout of crippled energy supplies continue to roil markets.,Workers are filing lawsuits against the countertop industry as cases of silicosis a deadly lung disease rise.,The interim chief executives are trying to rejuvenate sales as the founder Chip Wilson engages in a proxy battle for the boardroom.,Rising vehicle prices auto loan interest rates and insurance and maintenance costs are making it harder for people to buy or keep cars.,The Federal Reserve is set to hold interest rates steady this week as officials grapple with a host of new economic risks stemming from the conflict in the Middle East.,President Trump is getting little to no support so far for his call that other countries do their part to try to ease an energy crisis prompted by U.S.-Israeli attacks on Iran.,A Florida bill that would have regulated artificial intelligence backed by Gov. Ron DeSantis failed to gain traction after President Trump made it clear he did not want states to rein in the technology.,A president who calls journalists the “enemy of the people” has accused news organizations of undermining a military effort that many Americans oppose.,At the opening of the company’s annual conference Jensen Huang leaned on technology from a recent deal to show how artificial intelligence is changing.
2026-03-17,Iranian-linked ships carrying Russian oil were among those that received temporary exemptions from sanctions a sign of how dire the energy crisis is becoming.,Shipping routes crucial to global commerce remained disrupted as the conflict in the Middle East continued.,There are active test runs in Texas and a handful of companies are banking on making a big entry into the market as early as next year.,Katie Drummond has transformed the publication into a bright spot for Condé Nast with aggressive political reporting.,In San Francisco some passengers of autonomous taxis have experienced an unexpected hazard: being stuck in the vehicles when the cars are assaulted.,Energy prices continued to climb around the world as war in the Middle East intensifies. That has scrambled President Trump’s foreign policy strategy.,Excitement about A.I. assistant tools is running into growing concerns about the security risks of software that operates autonomously on user’s devices.,The unusual video is the latest demonstration that artificial intelligence is undermining trust — even in footage that is authentic.,He shared the 2011 prize for devising statistical tools to help guide central bankers and other policymakers on matters like tax cuts and rises in labor costs.,Airline executives said the war in Iran had raised fuel costs and as a result fares but that had not yet hurt demand for tickets from individuals and businesses.
2026-03-18,In a legal filing the government said it questioned whether the A.I. start-up could be a “trusted partner” in wartime which led it to label the company a supply chain risk.,Across Asia a sharp drop in liquefied natural gas supplies is pushing major importers back toward coal undermining L.N.G.’s long-held role as a stable energy anchor.,After he left jail in 2009 Mr. Epstein hired a host of people to make him look better on Google Wikipedia and many other places on the web.,A recent surge of A.I.-related imports has become an impediment to the smaller trade deficit President Trump wants.,After years of criticism and financial risk Palantir Anthropic and small start-ups are generating rewards from their investments in defense tech.,In the 1980s Charles Bennett and Gilles Brassard created a new kind of encryption that would be impregnable.,Jerome H. Powell the chair of the Federal Reserve emphasized the high degree of uncertainty stemming from the conflict as he acknowledged the potential for surging energy prices to lift inflation and dent growth.,The days of the quarterly earnings report could be numbered as the Securities and Exchange Commission is said to weigh a rule change. What it could mean for investors is likely to stir debate.,When previous commitments keep you from catching your team on television keep up with it using free apps that quietly deliver scores and more to your phone.,The Jones Act dictates that only U.S.-made ships can move cargo between U.S. ports. They charge customers more for shipping than foreign vessels.
2026-03-19,Inflation and its consequences for growth are a growing concern for countries where memories of the 2022 energy crisis are fresh.,Attacks on major energy facilities in Iran and Qatar injected new uncertainty into the outlook for oil and gas prices.,Japan is deploying subsidies to blunt fuel price increases but remains vulnerable to the long-term economic risks of the war in the Middle East.,New A.I. bots can do more than just chat. They can edit files send emails book trips and cause trouble.,Silicon Valley’s young coders are getting creative with this new technology. They also worry they’re not spending enough time with it.,A rate cut in the next few months could signal major problems in the economy.,The chair of the Federal Reserve said that he might not leave the central bank any time soon setting up a potential clash with President Trump.,Attacks on oil and natural gas facilities this week could make it much harder for Persian Gulf countries to rebuild and restart production when the war eventually ends.,Traders now expect Europe’s central bankers to raise rates this year to address a sharp increase in inflation because of higher energy prices.,Jerome H. Powell the Fed chair wants to keep the central bank’s policy options open as officials stare down another economic shock that threatens to stoke inflation and crimp growth.
2026-03-20,Prosecutors said the men including a co-founder of the company Super Micro had diverted servers containing Nvidia A.I. chips to China.,The $6.2 billion deal consolidates 265 stations in 44 states and Washington.,As China and other major suppliers of refined oil in the region restrict exports import-dependent countries are desperate to secure fuel supplies.,Oil prices had been gyrating this week after a new round of attacks on major energy facilities in Iran and Qatar raised concerns about energy supplies.,Across the United States plasma centers are opening in wealthier areas as more people struggle with the high cost of housing groceries and health care.,Recently released data from the Education Department showed that by the end of last year 7.7 million borrowers had defaulted on $181 billion in federal student loans.,Facing financial straits the founder is betting on a skunkworks for A.I. experiments.,Energy experts forecast more pain for consumers and businesses as the war in the Middle East shows no signs of easing.,President Trump has directed that most federal payments be issued electronically including tax refunds. Last year nearly 10 million people got their refund via a paper check.,The overall economy has proved resilient in recent years even as many households have struggled. The war with Iran is following the same pattern.
2026-03-21,The future once seemed boundless for those who grew up during China’s reform era. Now in middle age they are pinned between economic stagnation and institutional age discrimination.,The industry was a darling of the venture capital world 10 years ago. With many farms out of business the remaining companies have scaled back.,But at just 35 miles wide it did. It’s just the latest evidence of how dependent the global economy is on a handful of choke points.,War in Iran has disrupted global oil supplies which is prompting some car shoppers to look for ways to climb off “the gas-price roller coaster.”,You would think you’d get texts emails phone calls and letters if your insurer was about to drop you. But you may be wrong.,A certain type of shopping mall has become a surprising bright spot for real estate investors.,His software brought printing into the digital age allowing users to stop manually splicing columns of text and graphics and instead create layouts on a virtual pasteboard.,The movie which stars Ryan Gosling is on pace to be the company’s highest-grossing domestic film.,A stalwart of the mass media century the longstanding network that launched the careers of journalists like Edward R. Murrow will air its final broadcast in May.,
2026-03-22,A federal judge ruled on Friday that key parts of the Pentagon’s press policy were unconstitutional.,Generations of Indian workers and businesses have turned the Arab side of the Gulf into a vital appendage of their own country.,The ZR1X starting at $207000 is a Chevrolet showpiece that competes with rarefied rivals like Ferrari and McLaren at a fraction of their (stratospheric) prices.,Plus my co-workers had an affair and misused company funds. Somehow I’m the one dealing with the fallout.,Some tax resisters withhold a symbolic amount but those who willfully refuse to file or pay could face civil or criminal penalties.,Through Varsity Spirit the company he established in 1974 he turned cheerleading into a multibillion-dollar juggernaut and exerted control over almost every aspect of it.,,,,
2026-03-23,Oil prices tumbled and yields on government bonds pulled back from highs. But the response faded as the day went on.,The Wall Street titan Leon Black paid Jeffrey Epstein $170 million for what he said was tax and estate work. But his services went beyond that.,A new phase targeting oil and gas infrastructure in the Persian Gulf threatens to hurt businesses and customers around the world for months or even years.,Nations thousands of miles away from war are feeling the pain of their energy supplies suddenly vanishing. Some are feeling the loss more acutely than others.,Stock futures rose and oil prices fell after President Trump cited “very good and productive” talks with Iran over ending the war.,In China where half of new cars are electric vehicles or hybrids a vast population still depends on gas. The government stepped in on Monday to “mitigate” the pain of surging costs.,The world’s most popular YouTube celebrity who markets to children and has bragged about crypto trades is getting into banking. Senator Elizabeth Warren has concerns.,American and European oil and gas companies are expected to earn a lot more as prices surge but are worried about the future.,Democratic state attorneys general are fighting the Justice Department’s clearance of a $14 billion deal by Hewlett Packard Enterprise arguing it was ineffective and corrupt.,Trump officials said on Monday that the war in Iran had emphasized the need to reduce vulnerabilities for energy and technology.
2026-03-24,President Trump had set off a drastic market reaction on Monday by backing away from a threat to strike Iranian energy infrastructure.,The number of unscripted series has plummeted by a third since 2022. As the industry rapidly changes an era is quietly vanishing.,Artificial intelligence could reshape work but for now a low-hire low-fire labor market is the main impediment for young people seeking employment.,Global markets are under pressure again amid doubts that the fighting in the Middle East can end anytime soon.,Some airlines and travelers especially in the Middle East and elsewhere in Asia are bearing the brunt of the pain while others are doing better.,The Small Business Administration lent $378 billion to keep businesses afloat. Getting paid back is proving difficult.,For years the company sold chip designs to other companies. Now it plans to sell its own chips for A.I. data centers.,The cut represents about 20 percent of the video game company’s work force a spokeswoman said.,Investors are concerned about the health of the industry which ballooned over the past decade.,Airport escorts and “red coat” assistance for lawmakers will be suspended the airline said on Tuesday citing the extended partial government shutdown.
2026-03-25,Investors reacted to signals of possible de-escalation of the war in the Middle East.,Within the Senate’s housing bill lie the terms of an unusual debate: Who gets to own — and live in — single-family homes?,Daily money managers generally help older adults and the wealthy but busy professionals are increasingly using their services when they get behind.,President Trump has suggested providing escorts for stranded tankers. A mine strike on a U.S. frigate in the Persian Gulf shows the perils of doing so.,Trade is trickling through the vital artery connecting the Persian Gulf and the world creating an economic shock thousands of miles away.,The artificial intelligence start-up has pulled the plug on the video-making tool as it rethinks spending ahead of a possible blockbuster I.P.O.,A gallon has climbed to nearly $6 in the state about $2 above the national average.,Higher energy prices caused by the war with Iran could affect more than just prices at the pump for American consumers.,A jury found the companies harmed a young user with design features that were addictive and led to her mental health distress.,The jobs cuts and a new stock program for executives come as Meta continues to shift its focus to artificial intelligence.
2026-03-26,The S&P 500 tumbled 1.7 percent on Thursday and oil prices continued rising as investors fret about when the war would end.,Story House arrived in Missoula last year with big plans for a movie and television campus that would create hundreds of jobs and build a filmmaking ecosystem.,A pair of verdicts held social media companies accountable for harming young users highlighting a growing backlash as Congress struggles to pass legislation.,Regulators in Brussels accused the social media platform of maintaining a weak age-verification system and steering younger users toward inappropriate experiences.,Back-to-back courtroom losses have put technology giants including Meta and Google in uncertain territory as they face lawsuits and bans on teen users.,The company which develops autonomous military technology also plans to buy a maker of simulation software as interest in next-generation defense soars.,Higher energy prices and uncertainty over the war in the Middle East will boost inflation and weigh on economic growth a new forecast says.,The region’s stores of natural gas are running at the lowest level in years and filling them up is increasingly daunting as the U.S.-led war in Iran pushes up prices.,The Justice Department sued the large New York health system saying it restricted insurance companies from offering patients cheaper options.,Tech companies are running into resistance from neighbors and may not be able to build at the pace they promised investors.
2026-03-27,President Trump said on Thursday he would delay an imminent deadline to begin attacking Iran’s power grid.,With a third of the global supply offline because of the war in Iran gas companies are scrambling to assure critical A.I. chip makers there will be no disruptions.,Their anger goes far beyond the recent rise of unemployment and the looming threat of A.I.,The massive industry has helped President Trump collect millions.,The war in the Middle East risks worsening an inflation problem that the Federal Reserve has struggled for years to subdue.,As the U.S.-Israeli campaign enters a second month analysts see a growing toll. One forecast predicts oil hitting $200 a barrel.,NBC said that she would return as an anchor of the show on April 6 a little more than two months after the disappearance of her mother.,Care for people who can’t take care of themselves is expensive and regular health insurance doesn’t cover the cost.,Diesel has climbed faster than gasoline this month directly hitting businesses from brewers to trucking companies. Those higher costs are likely to make their way into consumer prices.,Fertilizer prices are climbing as a result of disruptions in the Middle East putting global food supplies at risk.
2026-03-28,The suit claimed the bank had overlooked signs that Mr. Epstein’s accounts were being used to further his abuse of young women.,As artificial intelligence takes on more and more tasks tech executives are embracing teams as small as two: one person plus A.I.,Gas lines and quadrupling oil prices freaked out American consumers. But the oil crises also transformed global finance.,Propaganda and disinformation have flooded the internet in a sophisticated effort to undermine support for U.S. and Israeli attacks.,From Las Vegas to the Côte d’Azur high-profile chefs are taking their cuisine on the road.,In at least five cases customers sought medical attention to remove bristles “from their digestive tract or throat” a federal agency said.,,,,
2026-03-29,Their simplicity makes the funds appealing but they could leave many workers near retirement particularly baby boomers short on savings.,No more YouTube or video games on school laptops. Textbooks and pencils are back. Some seventh graders say they prefer learning offline.,Steve Cahillane a food industry veteran is trying to revive the company behind Kool-Aid Oscar Mayer and many other brands.,The U.S. and other exporters are poised for a windfall but disruptions to Persian Gulf supplies are also pushing gas-buying countries to consider alternatives like coal solar and nuclear energy.,The group Innovation Council Action says it plans to spend at least $100 million. It will be led by a former administration official.,Jonathan Greenberger an executive at the publication will take over from John Harris a co-founder of Politico.,,,,
